CONTRACT_D	PREVIOUS_S	OPEN_PRICE	HIGH_PRICE	LOW_PRICE	CLOSE_PRIC	SETTLEMENT	NET_CHANGE	OI_NO_CON	TRADED_QUA	TRD_NO_CON	TRADED_VAL
FUTSTKTITAN29-MAR-2023	2658.4	2658.5	2658.5	2635.75	2640	2638.65	-0.74	4	1125	3	2975343.75
FUTSTKCOALINDIA29-MAR-2023	225.8	224	224	217.8	218.6	218.6	-3.18	24	96600	23	21204120
FUTSTKTATACHEM29-MAR-2023	956.85	942	942	942	942	946.5	-1.08	1	500	1	471000
FUTSTKRAIN23-FEB-2023	181.25	181.6	181.6	176.7	177.8	177.8	-1.9	67	150500	43	26805800
FUTSTKLTTS25-JAN-2023	3714.35	3703.9	3716.5	3649	3681.45	3681.45	-0.88	4970	365200	1826	1344499050
FUTSTKMANAPPURAM29-MAR-2023	124.1	121.5	121.5	121.5	121.5	123.55	-0.44	2	6000	1	729000
FUTSTKMANAPPURAM25-JAN-2023	122.85	122.75	125.25	120.15	122.15	122.15	-0.56	7749	19956000	3326	2449357200
FUTSTKMFSL23-FEB-2023	716.35	716.35	729.05	716.35	718.75	718.75	0.33	48	55250	85	39816822.5
FUTSTKFSL29-MAR-2023	105.6	103.75	103.95	103.6	103.6	103.6	-1.89	5	26000	5	2697760
FUTSTKBALRAMCHIN29-MAR-2023	408.8	391.95	391.95	391.95	391.95	392.9	-3.88	3	1600	1	627120
FUTSTKHDFCLIFE23-FEB-2023	602.75	602.55	615.25	602	603.85	603.85	0.18	173	371800	338	226254655
FUTSTKLICHSGFIN23-FEB-2023	425.25	425.9	426	414.35	423.35	423.35	-0.44	136	174000	87	73004700
FUTSTKSIEMENS29-MAR-2023	2883.1	0	0	0		2860.05	-0.79	0	0	0	0
FUTSTKUBL29-MAR-2023	1696.65	0	0	0		1706.2	0.56	1	0	0	0
FUTSTKL&TFH23-FEB-2023	91.5	91.55	92.05	88.5	89.5	89.5	-2.18	184	1240436	139	111520550.8
FUTSTKBEL23-FEB-2023	101.1	101.4	101.5	99.05	99.45	99.45	-1.63	715	1134300	199	113430285
FUTSTKMOTHERSON29-MAR-2023	77.5	77	77	75.8	75.95	75.95	-1.99	10	54000	8	4108050
FUTSTKGLENMARK23-FEB-2023	438.7	440.25	441.4	432	432.4	432.4	-1.43	114	105850	73	46165970
FUTSTKPIIND23-FEB-2023	3445.85	3447.3	3447.3	3380	3380	3380	-1.91	22	3750	15	12784075
FUTSTKTVSMOTOR29-MAR-2023	1040.5	1040.05	1040.05	1018.45	1021	1021	-1.87	31	9800	14	10080980
FUTSTKCOLPAL23-FEB-2023	1531.45	1533	1538.45	1530.1	1530.1	1530.1	-0.08	78	4900	14	7519260
FUTSTKMCDOWELL-N29-MAR-2023	879	867.55	867.55	867	867	864.9	-1.6	3	1250	2	1084093.75
FUTSTKMARUTI25-JAN-2023	8412.35	8401	8556.85	8337.05	8447.65	8447.65	0.41	27366	1083100	10831	9157552425
FUTSTKASHOKLEY29-MAR-2023	149.8	148.05	149.35	147.5	148.35	148.35	-0.96	11	50000	10	7422500
FUTSTKGAIL25-JAN-2023	97.2	97.9	98.25	95.35	95.75	95.75	-1.49	5494	13139400	1436	1263644738
FUTSTKPAGEIND23-FEB-2023	42692.75	42357.7	42786	42250	42601.55	42601.55	-0.21	112	765	51	32539211.25
FUTSTKSUNTV25-JAN-2023	490.15	487.75	488.8	478.15	480	480	-2.07	6340	1872000	1248	902804475
FUTSTKHINDCOPPER23-FEB-2023	117.3	116.3	116.3	114.35	115.35	115.35	-1.66	141	316800	66	36483840
FUTSTKDALBHARAT23-FEB-2023	1890.15	1890.55	1890.55	1853.35	1860.65	1860.65	-1.56	17	8500	17	15888175
FUTSTKAPOLLOTYRE25-JAN-2023	327.6	327.95	329.5	316.95	321.85	321.85	-1.75	3558	8760500	2503	2816279550
FUTSTKTCS25-JAN-2023	3320.45	3317.2	3328.65	3293	3314.5	3314.5	-0.17	55418	1762425	10071	5831940328
FUTSTKCOROMANDEL25-JAN-2023	903.25	904.95	910.95	891.75	897.5	897.5	-0.63	4497	605500	865	545411370
FUTSTKHEROMOTOCO25-JAN-2023	2728.95	2711.15	2734.8	2704.3	2714.05	2714.05	-0.54	7821	384600	1282	1045224360
FUTSTKDIVISLAB25-JAN-2023	3413.4	3420.25	3454.7	3408	3442.45	3442.45	0.85	17220	404250	2695	1388860178
FUTSTKINDHOTEL29-MAR-2023	325.35	320.5	320.5	317.9	317.9	319.6	-1.76	7	12000	6	3831800
FUTSTKPNB23-FEB-2023	58.5	58.85	58.85	56.3	56.9	56.9	-2.73	761	9776000	611	559404000
FUTSTKBERGEPAINT25-JAN-2023	581.2	582.55	583.35	573.55	575	575	-1.06	5294	836000	760	483149425
FUTSTKSHREECEM25-JAN-2023	23577.85	23549.95	24489.95	23549.95	23852.9	23852.9	1.16	10372	104625	4185	2513017769
FUTSTKHDFCLIFE29-MAR-2023	607.05	617	617	606.95	607.35	607.35	0.04	13	13200	12	8050845
FUTSTKPERSISTENT29-MAR-2023	4114.05	3974.1	3974.1	3892.5	3908.35	3908.35	-4.99	9	1575	9	6163193.75
FUTSTKRAMCOCEM23-FEB-2023	712.55	714.4	717	704	704.2	704.2	-1.17	88	41650	49	29465717.5
FUTSTKIDFCFIRSTB23-FEB-2023	62.2	61.85	62.4	60.15	60.85	60.85	-2.17	499	3690000	246	225146250
FUTSTKINDUSINDBK25-JAN-2023	1248.85	1260	1277.6	1208.95	1226.85	1226.85	-1.76	53806	12530700	27846	15501645630
FUTSTKSBILIFE23-FEB-2023	1284.35	1284.15	1293.05	1267.3	1269.1	1269.1	-1.18	43	38250	51	48943537.5
FUTIDXNIFTY29-MAR-2023	18463.65	18438.9	18447.75	18241	18252.2	18252.2	-1.14	2455	137200	2744	2512552738
FUTSTKSAIL23-FEB-2023	88.95	88.55	88.65	85.25	85.9	85.9	-3.42	741	3184000	398	275635200
FUTSTKINDHOTEL25-JAN-2023	321.35	320.1	322.1	314.2	315.45	315.45	-1.83	12589	4472000	2236	1415969600
FUTSTKTATACONSUM23-FEB-2023	774.95	772.15	773.25	767.5	769.5	769.5	-0.7	98	19800	22	15230880
FUTIDXFINNIFTY31-JAN-2023	19293.6	19294.05	19333.8	19070	19103.45	19103.45	-0.98	250	25560	639	490421838
FUTSTKMUTHOOTFIN29-MAR-2023	1077	1071	1077.5	1055	1077.5	1107.35	2.81	26	2200	4	2350975
FUTSTKFEDERALBNK29-MAR-2023	139.7	138.55	138.7	137	138	138.6	-0.78	26	80000	16	11020000
FUTIDXMIDCPNIFTY28-FEB-2023	7288.4	0	0	0		7194.15	-1.29	0	0	0	0
FUTSTKLAURUSLABS25-JAN-2023	380.25	380.1	381.65	373.7	376.05	376.05	-1.1	8821	873400	794	328634680
FUTSTKJSWSTEEL23-FEB-2023	772.1	767.05	767.05	740.95	741.55	741.55	-3.95	238	336150	249	251814082.5
FUTSTKINDUSINDBK23-FEB-2023	1253.4	1266	1281.4	1216	1232.8	1232.8	-1.64	607	289350	643	359176410
FUTSTKIDFCFIRSTB25-JAN-2023	61.8	61.55	62	59.65	60.5	60.5	-2.1	10550	62220000	4148	3769050000
FUTSTKDRREDDY25-JAN-2023	4264	4285.75	4285.75	4243.45	4264.85	4264.85	0.01	18569	216000	1728	920171331.3
FUTSTKHDFCAMC25-JAN-2023	2189.55	2190	2194.9	2160.1	2172.85	2172.85	-0.76	5521	271500	905	591350760
FUTSTKTATAMOTORS29-MAR-2023	400	396.5	397.5	390.5	391.1	391.1	-2.22	244	272175	191	106811231.3
FUTSTKHAL29-MAR-2023	2579.85	2530	2539	2508	2508	2521.3	-2.26	8	900	3	2273100
FUTSTKPIDILITIND29-MAR-2023	2577.75	0	0	0		2550.8	-1.04	2	0	0	0
FUTSTKOFSS25-JAN-2023	3021.25	3014.75	3036.2	2994.15	3024.05	3024.05	0.09	2434	85800	429	258855130
FUTSTKSHRIRAMFIN23-FEB-2023	1340.3	1344.45	1345.9	1310.9	1315.85	1315.85	-1.82	385	117600	196	155779830
FUTSTKINDIGO25-JAN-2023	2049.8	2063.5	2068.15	2003.25	2013.25	2013.25	-1.78	10403	795900	2653	1611146250
FUTSTKMGL29-MAR-2023	870.4	0	0	0		864.95	-0.62	0	0	0	0
FUTSTKMARICO29-MAR-2023	518.85	512.8	512.8	509.85	509.85	509.85	-1.73	5	3600	3	1839000
FUTSTKCUMMINSIND25-JAN-2023	1396	1400.3	1420.95	1379.6	1386.6	1386.6	-0.67	2824	1096800	1828	1532804490
FUTSTKBANDHANBNK29-MAR-2023	244.05	242.15	244.15	240.7	244.15	243.9	-0.06	20	14400	8	3488760
FUTSTKGNFC29-MAR-2023	580.1	589.7	591.05	589.7	591.05	591.05	1.88	14	2600	2	1534975
FUTSTKDIXON23-FEB-2023	3924.25	3897.85	3924.1	3850.05	3852.75	3852.75	-1.82	146	8625	69	33483043.75
FUTSTKLTIM29-MAR-2023	4413.5	4344.35	4369.1	4302.35	4332.7	4332.7	-1.83	15	1350	9	5853502.5
FUTSTKAUROPHARMA23-FEB-2023	446	444.6	448.35	441.2	444.3	444.3	-0.38	610	145000	145	64510550
FUTSTKBHARATFORG23-FEB-2023	888.05	883.1	883.1	867	869.05	869.05	-2.13	79	58000	58	50687300
FUTSTKINDIACEM25-JAN-2023	223.8	223.8	225.85	219.4	220.6	220.6	-1.42	5229	4645800	1602	1033000590
FUTSTKAXISBANK23-FEB-2023	972.55	974.1	979.25	965	967.35	967.35	-0.53	586	651600	543	633771600
FUTSTKGODREJPROP29-MAR-2023	1263.1	1240.4	1240.4	1240.4	1240.4	1232.25	-2.44	2	425	1	527170
FUTSTKACC25-JAN-2023	2458.95	2463.1	2493	2416.2	2423.8	2423.8	-1.42	10720	1027500	4110	2528664475
FUTSTKLT23-FEB-2023	2114.85	2114.3	2117.65	2082.1	2091.95	2091.95	-1.08	369	62700	209	131323155
FUTSTKCONCOR25-JAN-2023	747.15	749.85	749.95	730.1	732.6	732.6	-1.94	6208	1020000	1020	750566300
FUTSTKMRF25-JAN-2023	89247.05	89300	89300	87384.5	87872.2	87872.2	-1.54	4901	10990	1099	967900427
FUTSTKVOLTAS23-FEB-2023	817.15	818.35	818.9	806.05	812.55	812.55	-0.56	369	45000	75	36572940
FUTSTKESCORTS23-FEB-2023	2178.2	2168.1	2168.1	2146.15	2150	2150	-1.29	65	5775	21	12470315
FUTSTKBALKRISIND25-JAN-2023	2133.65	2120.1	2136.9	2111.15	2125.75	2125.75	-0.37	6576	175200	584	372053520
FUTSTKFEDERALBNK23-FEB-2023	139.3	139.45	139.8	136.15	137.35	137.35	-1.39	288	1485000	297	204695750
