CONTRACT_D	PREVIOUS_S	OPEN_PRICE	HIGH_PRICE	LOW_PRICE	CLOSE_PRIC	SETTLEMENT	NET_CHANGE	OI_NO_CON	TRADED_QUA	TRD_NO_CON	UNDRLNG_ST	NOTIONAL_V	PREMIUM_TR
OPTSTKTATAMOTORS25-JAN-2023CE505	0.4	0.2	0.2	0.2	0.2	0.2	0.2	15	14250	10	393.9	7199100	2850
OPTSTKCONCOR29-MAR-2023PE630	13.45	0	0	0		12.6	0.85	0	0	0	744	0	0
OPTSTKJSWSTEEL25-JAN-2023PE630	0.8	0.8	0.8	0.8	0.8	0.75	0.05	36	1350	1	767.9	851580	1080
OPTSTKMFSL25-JAN-2023CE630	62.7	0	0	0		85.2	22.5	0	0	0	709.75	0	0
OPTSTKBERGEPAINT25-JAN-2023PE630	53.45	49	49	49	49	51.8	1.65	6	1100	1	579.05	746900	53900
OPTSTKTORNTPOWER23-FEB-2023CE630	1.7	0	0	0		1.55	0.15	0	0	0	499.45	0	0
OPTSTKTORNTPOWER23-FEB-2023PE505	26.9	0	0	0		27.2	0.3	0	0	0	499.45	0	0
OPTSTKCANFINHOME25-JAN-2023PE630	80.45	0	0	0		82.9	2.45	1	0	0	548.65	0	0
OPTSTKIRCTC25-JAN-2023PE630	10.75	9.1	11.1	8.2	10.55	10.55	0.2	645	539875	617	644.05	345432893.8	5311643.75
OPTSTKTATACONSUM25-JAN-2023CE630	135.15	0	0	0		139.8	4.65	0	0	0	767.15	0	0
OPTSTKSUNTV23-FEB-2023PE505	35.7	0	0	0		36.25	0.55	0	0	0	486.8	0	0
OPTSTKHDFCLIFE23-FEB-2023CE630	9.9	0	0	0		17.9	8	0	0	0	595.6	0	0
OPTSTKAUROPHARMA25-JAN-2023PE505	69.75	0	0	0		63.8	5.95	0	0	0	441.3	0	0
OPTSTKRAMCOCEM25-JAN-2023CE630	81.95	0	0	0		88.05	6.1	0	0	0	713.25	0	0
OPTSTKMARICO25-JAN-2023CE505	16.15	0	0	0		18.3	2.15	0	0	0	510.6	0	0
OPTSTKRAMCOCEM23-FEB-2023PE630	9.8	0	0	0		8.4	1.4	0	0	0	713.25	0	0
OPTSTKSUNTV25-JAN-2023PE630	139.05	0	0	0		140.75	1.7	0	0	0	486.8	0	0
OPTSTKMARICO25-JAN-2023PE505	12.75	12.5	12.5	6	6.5	10.65	2.1	7	25200	21	510.6	12899040	173040
OPTSTKMFSL29-MAR-2023CE630	86.65	0	0	0		106.6	19.95	0	0	0	709.75	0	0
OPTSTKIGL23-FEB-2023CE505	4.8	0	0	0		4.6	0.2	0	0	0	419.3	0	0
OPTSTKLUPIN29-MAR-2023CE630	123.6	0	0	0		127.6	4	0	0	0	737.95	0	0
OPTSTKSYNGENE29-MAR-2023PE630	63.25	0	0	0		56.85	6.4	0	0	0	590.1	0	0
OPTSTKAUROPHARMA23-FEB-2023PE505	72.45	0	0	0		67.2	5.25	0	0	0	441.3	0	0
OPTSTKIGL23-FEB-2023PE505	85.75	0	0	0		85.5	0.25	0	0	0	419.3	0	0
OPTSTKTORNTPOWER29-MAR-2023CE505	36.7	0	0	0		35.7	1	0	0	0	499.45	0	0
OPTSTKAARTIIND25-JAN-2023CE630	11.3	10.6	13.2	10.3	12.85	12.85	1.55	84	68850	81	616.85	44207097.5	831597.5
OPTSTKBHARTIARTL25-JAN-2023PE630	0	0	0	0		0	0	0	0	0	817.6	0	0
OPTSTKPETRONET25-JAN-2023PE243	25.85	0	0	0		26.3	0.45	0	0	0	216.1	0	0
OPTSTKSBIN23-FEB-2023PE630	37.75	0	0	0		37.35	0.4	0	0	0	612.4	0	0
OPTSTKMFSL23-FEB-2023PE630	15.1	0	0	0		9.75	5.35	0	0	0	709.75	0	0
OPTSTKJINDALSTEL23-FEB-2023CE630	37.25	21.5	21.5	21.5	21.5	21.5	15.75	3	2500	2	598.5	1628750	53750
OPTSTKGNFC25-JAN-2023PE630	76	72.45	72.45	72.45	72.45	72.1	3.9	4	5200	4	567.3	3652740	376740
OPTSTKJINDALSTEL25-JAN-2023PE630	52.6	41.05	41.05	37.55	39.2	49.5	3.1	11	12500	10	598.5	8371625	496625
OPTSTKICICIPRULI23-FEB-2023PE505	56.2	0	0	0		44.5	11.7	0	0	0	468.85	0	0
OPTSTKTATAMOTORS23-FEB-2023CE505	3.4	0	0	0		3.15	0.25	0	0	0	393.9	0	0
OPTSTKSUNTV25-JAN-2023PE505	27.75	0	0	0		28.35	0.6	0	0	0	486.8	0	0
OPTSTKIRCTC25-JAN-2023CE630	25.95	29.7	35.3	25.1	26.05	26.05	0.1	628	259875	297	644.05	171250931.3	7529681.25
OPTSTKGLENMARK25-JAN-2023PE505	76.25	0	0	0		69.65	6.6	0	0	0	434.7	0	0
OPTSTKICICIBANK23-FEB-2023CE1070	4.85	0	0	0		4.5	0.35	0	0	0	901.35	0	0
OPTSTKHAVELLS25-JAN-2023CE1070	57.4	0	0	0		76.2	18.8	0	0	0	1127.95	0	0
OPTSTKDIVISLAB25-JAN-2023CE3820	12.6	7.65	8.6	7	7.4	13.3	0.7	3	1350	9	3393	5167230	10230
OPTSTKSUNPHARMA25-JAN-2023PE1070	75.6	0	0	0		65.7	9.9	0	0	0	1009.1	0	0
OPTSTKSUNPHARMA29-MAR-2023PE1070	88.95	0	0	0		81.35	7.6	0	0	0	1009.1	0	0
OPTSTKTCS23-FEB-2023PE3820	533.8	0	0	0		488.7	45.1	0	0	0	3311.35	0	0
OPTSTKTVSMOTOR25-JAN-2023PE1070	31.85	31.65	52.5	30	43.9	43.9	12.05	88	98700	141	1041.55	109679815	4070815
OPTSTKTATACHEM23-FEB-2023CE1070	22.8	0	0	0		22.2	0.6	0	0	0	941.7	0	0
OPTSTKINDUSTOWER23-FEB-2023PE227.5	38	0	0	0		38.15	0.15	0	0	0	189.7	0	0
OPTSTKCIPLA29-MAR-2023PE1070	49.45	0	0	0		47	2.45	0	0	0	1075.9	0	0
OPTSTKCOALINDIA25-JAN-2023CE227.5	4.65	4.45	4.8	3.5	3.85	3.85	0.8	124	932400	222	224.1	215874540	3753540
OPTSTKTECHM25-JAN-2023PE1070	71.75	0	0	0		61.35	10.4	1	0	0	1023.8	0	0
OPTSTKHCLTECH29-MAR-2023PE1070	70.35	0	0	0		69	1.35	0	0	0	1041.35	0	0
OPTSTKAXISBANK25-JAN-2023CE1070	0.8	0.85	2.15	0.75	1.3	1.3	0.5	186	664800	554	962.3	712157880	821880
OPTSTKAXISBANK29-MAR-2023CE1070	29.15	0	0	0		35.3	6.15	0	0	0	962.3	0	0
OPTSTKCUB23-FEB-2023CE227.5	1.1	0	0	0		1.1	0	0	0	0	178.95	0	0
OPTSTKHAVELLS23-FEB-2023PE1070	37.65	0	0	0		28.45	9.2	0	0	0	1127.95	0	0
OPTSTKSUNPHARMA29-MAR-2023CE1070	33.1	0	0	0		37.4	4.3	0	0	0	1009.1	0	0
OPTSTKDIVISLAB25-JAN-2023PE3820	443.75	0	0	0		424.85	18.9	0	0	0	3393	0	0
OPTSTKHINDPETRO25-JAN-2023CE227.5	15.7	0	0	0		15.9	0.2	1	0	0	237.7	0	0
OPTSTKPOWERGRID29-MAR-2023PE227.5	18.3	0	0	0		17.9	0.4	0	0	0	215.6	0	0
OPTSTKHAVELLS23-FEB-2023CE1070	78.65	0	0	0		96.6	17.95	0	0	0	1127.95	0	0
OPTSTKTATAPOWER29-MAR-2023PE227.5	25.75	0	0	0		25.9	0.15	0	0	0	211.35	0	0
OPTSTKBAJAJ-AUTO23-FEB-2023PE3820	280.4	0	0	0		260.7	19.7	0	0	0	3601.8	0	0
OPTSTKTCS25-JAN-2023PE4220	940.75	0	0	0		891.6	49.15	0	0	0	3311.35	0	0
OPTSTKHINDPETRO29-MAR-2023PE227.5	12.35	0	0	0		12.05	0.3	0	0	0	237.7	0	0
OPTSTKDIVISLAB23-FEB-2023PE3820	460.95	0	0	0		444.1	16.85	0	0	0	3393	0	0
OPTSTKCIPLA29-MAR-2023CE1070	67.55	0	0	0		69.85	2.3	0	0	0	1075.9	0	0
OPTSTKCOALINDIA25-JAN-2023PE227.5	6.15	6.25	7.25	6.25	6.5	9.65	3.5	37	75600	18	224.1	17706780	507780
OPTSTKTATACHEM25-JAN-2023PE1070	131.2	0	0	0		130.55	0.65	0	0	0	941.7	0	0
OPTSTKSBICARD25-JAN-2023CE1070	0.05	0	0	0		0.05	0	0	0	0	792.4	0	0
OPTSTKPETRONET25-JAN-2023CE227.5	2.65	0	0	0		2.35	0.3	1	0	0	216.1	0	0
OPTSTKHINDPETRO23-FEB-2023CE227.5	20.9	0	0	0		21.1	0.2	0	0	0	237.7	0	0
OPTSTKCOALINDIA29-MAR-2023PE227.5	16.05	0	0	0		16.25	0.2	0	0	0	224.1	0	0
OPTSTKMCDOWELL-N23-FEB-2023PE1070	194	0	0	0		198.3	4.3	0	0	0	865.05	0	0
OPTSTKDIVISLAB23-FEB-2023CE3820	50.75	0	0	0		53.5	2.75	0	0	0	3393	0	0
OPTSTKTVSMOTOR25-JAN-2023CE1070	30.5	30	32.05	15.4	19.4	19.4	11.1	257	586600	838	1041.55	639839340	12177340
OPTSTKHAVELLS29-MAR-2023PE1070	50.1	0	0	0		40.75	9.35	0	0	0	1127.95	0	0
OPTSTKITC25-JAN-2023CE227.5	106.35	0	0	0		104.55	1.8	0	0	0	331.1	0	0
OPTSTKCOFORGE23-FEB-2023CE3950	302.7	0	0	0		338.3	35.6	0	0	0	4019.55	0	0
OPTSTKFEDERALBNK25-JAN-2023CE134	8.15	8.1	8.7	8.1	8.15	8	0.15	33	40000	8	137.75	5692250	332250
OPTSTKBRITANNIA23-FEB-2023CE3950	426.3	0	0	0		383.65	42.65	0	0	0	4241.8	0	0
OPTSTKINDIAMART29-MAR-2023PE3950	195.55	0	0	0		186.65	8.9	0	0	0	4351	0	0
OPTSTKMANAPPURAM23-FEB-2023PE134	17.25	0	0	0		15.35	1.9	0	0	0	122.1	0	0
OPTSTKNAUKRI29-MAR-2023CE3950	373.7	0	0	0		373.45	0.25	0	0	0	3916.9	0	0
OPTSTKPIIND29-MAR-2023CE3950	91.25	0	0	0		89.95	1.3	0	0	0	3413	0	0
OPTSTKDIVISLAB23-FEB-2023CE3950	32	0	0	0		33.75	1.75	0	0	0	3393	0	0
OPTSTKFEDERALBNK23-FEB-2023PE134	6.35	0	0	0		6.25	0.1	0	0	0	137.75	0	0
OPTSTKBAJAJ-AUTO25-JAN-2023CE3950	10.3	4.1	4.25	2.95	2.95	2.95	7.35	30	7500	30	3601.8	29654962.5	29962.5
OPTSTKNAVINFLUOR25-JAN-2023CE3950	277.65	0	0	0		215.85	61.8	0	0	0	4034.05	0	0
OPTSTKCOLPAL23-FEB-2023PE1470	29.15	0	0	0		29.5	0.35	0	0	0	1517.35	0	0
OPTSTKDIXON25-JAN-2023CE3950	154.7	114	114	114	114	114	40.7	2	250	2	3922.2	1016000	28500
OPTSTKPFC25-JAN-2023CE134	16.85	0	0	0		22.75	5.9	0	0	0	156	0	0
OPTSTKCOLPAL29-MAR-2023PE1470	40.3	0	0	0		40.8	0.5	0	0	0	1517.35	0	0
OPTSTKCOFORGE25-JAN-2023PE3950	164.5	136.05	140.25	99.85	103.1	103.1	61.4	31	33000	220	4019.55	134269897.5	3919897.5
OPTSTKRECLTD25-JAN-2023PE134	13.65	0	0	0		11.4	2.25	0	0	0	123	0	0
OPTSTKAPOLLOHOSP29-MAR-2023CE3950	684.45	0	0	0		712.4	27.95	0	0	0	4490.9	0	0
OPTSTKMANAPPURAM25-JAN-2023PE134	15.55	0	0	0		13.3	2.25	0	0	0	122.1	0	0
OPTSTKPFC29-MAR-2023CE134	21	0	0	0		26.2	5.2	0	0	0	156	0	0
OPTSTKBAJAJ-AUTO23-FEB-2023PE3950	380.05	0	0	0		357.8	22.25	0	0	0	3601.8	0	0
OPTSTKCOLPAL25-JAN-2023PE1470	15.5	9.8	10.45	9.05	9.2	9.2	6.3	18	9100	26	1517.35	13463905	86905
OPTSTKPFC23-FEB-2023CE148	9.45	0	0	0		13.55	4.1	0	0	0	156	0	0
OPTSTKASIANPAINT25-JAN-2023CE3950	0.05	0	0	0		0.05	0	1	0	0	3028.25	0	0
OPTSTKADANIENT23-FEB-2023CE3950	247	0	0	0		238.25	8.75	0	0	0	3830.95	0	0
OPTSTKEICHERMOT23-FEB-2023CE3950	17.9	0	0	0		15.65	2.25	0	0	0	3213.45	0	0
OPTSTKPIIND25-JAN-2023PE3950	531.95	0	0	0		529.75	2.2	0	0	0	3413	0	0
OPTSTKLTTS29-MAR-2023CE3950	261.9	0	0	0		251.3	10.6	0	0	0	3707.2	0	0
OPTSTKDRREDDY23-FEB-2023CE3950	382.15	0	0	0		382.45	0.3	0	0	0	4238.35	0	0
